DateTime,Daily Average,Fasting
2025-05-12 00:00:00,72.2,
2025-07-31 00:00:00,69.4,
2025-08-01 00:00:00,69.3,
2025-08-02 00:00:00,69.85,
2025-08-03 00:00:00,69.6,
2025-08-04 00:00:00,70,
2025-08-05 00:00:00,69.95,
2025-08-06 00:00:00,70.8,
2025-08-08 00:00:00,70.15,
2025-08-09 00:00:00,70.6,
2025-08-10 00:00:00,70.9,
2025-08-11 00:00:00,70.7,
2025-08-12 00:00:00,71.55,
2025-08-13 00:00:00,70.85,
2025-08-14 00:00:00,71.2,
2025-08-15 00:00:00,70.25,
2025-08-16 00:00:00,70.5,
2025-08-17 00:00:00,71,
2025-08-18 00:00:00,71.8,
2025-08-19 00:00:00,71.9,
2025-08-20 00:00:00,70.15,
2025-08-21 00:00:00,70.45,
2025-08-22 00:00:00,71.15,
2025-08-23 00:00:00,71.05,
2025-08-24 00:00:00,70.7,
2025-08-25 00:00:00,70.55,
2025-08-26 00:00:00,70.95,
2025-08-27 00:00:00,71.45,
2025-08-28 00:00:00,70.95,
2025-08-30 00:00:00,71.65,
2025-08-31 00:00:00,72.35,
2025-09-01 00:00:00,71.85,
2025-09-02 00:00:00,71.5,
2025-09-03 00:00:00,72,
2025-09-04 00:00:00,72.3,
2025-09-05 00:00:00,71.75,
2025-09-06 00:00:00,72,
2025-09-07 00:00:00,71.9,
2025-09-08 00:00:00,71.7,
2025-09-09 00:00:00,71.75,
2025-09-11 00:00:00,72.1,
2025-09-12 00:00:00,72.2,
2025-09-13 00:00:00,73.1,
2025-09-14 00:00:00,73.1,
2025-09-15 00:00:00,72.35,
2025-09-16 00:00:00,73.1,
2025-09-17 00:00:00,74.1,
2025-09-18 00:00:00,73.7,
2025-09-19 00:00:00,73.1,
2025-09-20 00:00:00,73,
2025-09-21 00:00:00,73.7,
2025-09-22 00:00:00,73.1,
2025-09-23 00:00:00,72.85,
2025-09-24 00:00:00,73.1,
2025-09-25 00:00:00,73.6,
2025-09-26 00:00:00,73.7,
2025-09-27 00:00:00,73.6,
2025-09-28 00:00:00,73.3,
2025-09-29 00:00:00,73.1,
2025-09-30 00:00:00,72.7,
2025-10-01 00:00:00,73.2,
2025-10-02 00:00:00,74,
2025-10-03 00:00:00,73.9,
2025-10-04 00:00:00,74.1,
2025-10-07 00:00:00,73.8,
2025-10-08 00:00:00,74,
2025-10-09 00:00:00,74.45,
2025-10-10 00:00:00,74.5,
2025-10-11 00:00:00,74.8,
2025-10-12 00:00:00,73.9,
2025-10-13 00:00:00,73.8,
2025-10-14 00:00:00,74.15,
2025-10-15 00:00:00,74.3,
2025-10-16 00:00:00,75,
2025-10-17 00:00:00,74.5,
2025-10-19 00:00:00,74.2,
2025-10-20 00:00:00,73.6,
2025-10-21 00:00:00,74.9,
2025-10-22 00:00:00,74.7,
2025-10-23 00:00:00,74.5,
2025-10-24 00:00:00,74.9,
2025-10-25 00:00:00,74.7,
2025-10-26 00:00:00,74.9,
2025-10-27 00:00:00,74.35,
2025-10-28 00:00:00,75.2,
2025-10-29 00:00:00,75.5,
2025-10-30 00:00:00,75.35,
2025-10-31 00:00:00,75.45,
2025-11-02 00:00:00,74.3,
2025-11-03 00:00:00,75.4,
2025-11-04 00:00:00,75.1,
2025-11-05 00:00:00,75.2,
2025-11-06 00:00:00,75.3,
2025-11-07 00:00:00,75.4,
2025-11-07 00:00:00,75.55,
2025-11-08 00:00:00,75,
